,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65316,3.8591,-0.67343,-0.64261,-0.02027000000000001,-0.010549999999999948,-0.01540999999999998,-0.008985273998965159
1,C,2,0.0098,4.0086,0.16151,-0.10265,0.15170999999999998,0.11245000000000001,0.13208,0.09577194892735898
2,C,3,-0.07159,3.9027,-0.01745,-0.08537,0.05414,0.01378,0.033960000000000004,0.011736215706705262
3,N,4,-0.35519,3.4861,-0.19572,-0.38692,0.15947,0.03172999999999998,0.09559999999999999,0.027023956776034665
4,C,5,-0.21232,3.8544,-0.23013,-0.20468,-0.017809999999999993,-0.007640000000000008,-0.012725,-0.006506871407781443
5,C,6,-0.45185,3.9115,-0.4415,-0.45276,0.01034999999999997,0.0009100000000000219,0.005629999999999996,0.0007750331127069699
6,C,7,-0.02217,4.016,-0.03478,-0.01141,-0.01261,-0.010759999999999999,-0.011685,-0.009164127794205269
7,C,8,-0.23178,3.9582,-0.22636,-0.2385,0.005420000000000008,0.006719999999999976,0.006069999999999992,0.005723321447682081
8,C,9,-0.22735,3.9575,-0.22438,-0.2294,0.0029700000000000004,0.0020499999999999963,0.0025099999999999983,0.0017459537154387332
9,C,10,-0.24046,3.9576,-0.23376,-0.24885,0.0067000000000000115,0.00838999999999998,0.007544999999999996,0.007145634962210226
10,C,11,-0.22756,3.9576,-0.22563,-0.23078,0.001930000000000015,0.0032200000000000006,0.002575000000000008,0.002742424860347674
11,C,12,-0.23033,3.9584,-0.22981,-0.22946,0.0005200000000000204,-0.0008700000000000097,-0.0001749999999999946,-0.0007409657231374231
12,C,13,0.12605,3.8937,0.09691,-0.11022,-0.02914,0.23626999999999998,0.10356499999999999,0.20122755333985862
13,C,14,-0.2445,3.9885,-0.04804,-0.23512,0.19646,-0.00938,0.09354,-0.007988802854056266
14,C,15,0.34847,3.864,0.36437,0.1379,0.015900000000000025,0.21057,0.11323500000000002,0.17933925554143157
15,O,16,-0.70729,1.8638,-0.57764,-0.86958,0.12964999999999993,0.16229000000000005,0.14597,0.13821991633100125
16,C,17,-0.46793,3.9159,-0.52051,-0.45719,-0.052580000000000016,-0.010740000000000027,-0.03166000000000002,-0.009147094099420524
17,H,18,0.22838,0.9497,0.25909,0.20925,0.030709999999999987,0.019130000000000008,0.024919999999999998,0.01629272906163075
18,H,19,0.22884,0.9494,0.25817,0.21047,0.029330000000000023,0.018369999999999997,0.02385000000000001,0.01564544865980955
19,H,20,0.22972,0.9482,0.24441,0.2201,0.01468999999999998,0.009620000000000017,0.012155,0.0081932071914735
20,H,21,0.23545,0.9462,0.26345,0.21439,0.028000000000000025,0.021059999999999995,0.02453000000000001,0.017936480608360866
21,H,22,0.22947,0.9487,0.24888,0.2144,0.019409999999999983,0.01507,0.01723999999999999,0.012834889020322808
22,H,23,0.22939,0.9489,0.25672,0.21472,0.027329999999999993,0.014670000000000016,0.021000000000000005,0.012494215124627459
23,H,24,0.24212,0.9426,0.25821,0.23054,0.016089999999999993,0.011580000000000007,0.013835,0.00986250928038077
24,H,25,0.231,0.948,0.24018,0.22484,0.009179999999999994,0.006159999999999999,0.007669999999999996,0.005246377993708592
25,H,26,0.23217,0.9474,0.23471,0.22943,0.0025400000000000145,0.0027399999999999924,0.0026400000000000035,0.0023336161855132312
26,H,27,0.23372,0.9463,0.23567,0.23168,0.0019499999999999795,0.002040000000000014,0.0019949999999999968,0.0017374368680463641
27,H,28,0.23395,0.9461,0.23571,0.23188,0.0017600000000000116,0.0020699999999999885,0.001915,0.0017629874102234946
28,H,29,0.23395,0.9462,0.23587,0.23203,0.001920000000000005,0.001920000000000005,0.001920000000000005,0.0016352346993377476
29,H,30,0.23314,0.9471,0.23573,0.23033,0.002590000000000009,0.002809999999999979,0.002699999999999994,0.0023932341172599085
30,H,31,0.24429,0.9424,0.27198,0.20395,0.027689999999999992,0.040340000000000015,0.034015000000000004,0.03435696238087739
31,H,32,0.13991,0.9843,0.16682,0.09644,0.02690999999999999,0.04347000000000001,0.03519,0.0370227356146936
32,H,33,0.2265,0.9519,0.30612,0.20111,0.07962,0.025389999999999996,0.052504999999999996,0.021624275529263173
33,H,34,0.22714,0.9517,0.30464,0.20202,0.07750000000000001,0.025120000000000003,0.05131000000000001,0.02139432064966881
